id,tags
0,"CRIME-FICTION MYSTERY SUSPENSE THRILLER"
1,"HISTORICAL-NOVEL THRILLER"
2,"CHILDREN'S-LITERATURE FANTASY SPECULATIVE-FICTION"
3,"ALTERNATE-HISTORY NON-FICTION NOVEL"
4,"CHILDREN'S-LITERATURE FICTION HISTORICAL-FICTION MEMOIR"
5,"SPY-FICTION THRILLER"
6,"ALTERNATE-HISTORY SCIENCE-FICTION SPECULATIVE-FICTION THRILLER"
7,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
8,"FANTASY SPECULATIVE-FICTION"
9,"FICTION MYSTERY"
10,"CHILDREN'S-LITERATURE DETECTIVE-FICTION MYSTERY YOUNG-ADULT-LITERATURE"
11,"CHILDREN'S-LITERATURE NOVEL YOUNG-ADULT-LITERATURE"
12,"FICTION NOVEL"
13,"CRIME-FICTION MYSTERY SUSPENSE"
14,"CHILDREN'S-LITERATURE"
15,"CHILDREN'S-LITERATURE FICTION NOVEL"
16,"FICTION NOVEL"
17,"FICTION NOVEL"
18,"CHILDREN'S-LITERATURE YOUNG-ADULT-LITERATURE"
19,"SCIENCE-FICTION SPECULATIVE-FICTION"
20,""
21,"FANTASY SPECULATIVE-FICTION"
22,"CHILDREN'S-LITERATURE FICTION YOUNG-ADULT-LITERATURE"
23,"ALTERNATE-HISTORY NON-FICTION SCIENCE-FICTION SPECULATIVE-FICTION"
24,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
25,"FICTION MYSTERY SUSPENSE"
26,"SCIENCE-FICTION SPECULATIVE-FICTION"
27,"FICTION NOVEL"
28,"SCIENCE-FICTION SPECULATIVE-FICTION"
29,"AUTOBIOGRAPHY NON-FICTION NOVEL"
30,""
31,"CHILDREN'S-LITERATURE"
32,"FICTION NOVEL"
33,"CHILDREN'S-LITERATURE FICTION NOVEL"
34,"DETECTIVE-FICTION FICTION MYSTERY NOVEL"
35,"CRIME-FICTION FICTION MYSTERY NOVEL SUSPENSE"
36,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
37,"DETECTIVE-FICTION MYSTERY NOVEL SUSPENSE"
38,"CHILDREN'S-LITERATURE YOUNG-ADULT-LITERATURE"
39,"AUTOBIOGRAPHY NON-FICTION"
40,""
41,"FANTASY HORROR SPECULATIVE-FICTION"
42,"SCIENCE-FICTION SPECULATIVE-FICTION THRILLER"
43,"SCIENCE-FICTION SPECULATIVE-FICTION"
44,"FICTION MYSTERY NOVEL SUSPENSE"
45,"CRIME-FICTION FICTION MYSTERY SUSPENSE THRILLER"
46,"FICTION NOVEL"
47,"CHILDREN'S-LITERATURE FICTION YOUNG-ADULT-LITERATURE"
48,""
49,"CHILDREN'S-LITERATURE FICTION NOVEL YOUNG-ADULT-LITERATURE"
50,"CRIME-FICTION FICTION MYSTERY NOVEL SUSPENSE"
51,"CHILDREN'S-LITERATURE FICTION"
52,"FICTION"
53,"CHILDREN'S-LITERATURE FANTASY FICTION YOUNG-ADULT-LITERATURE"
54,"CHILDREN'S-LITERATURE"
55,"FANTASY"
56,"FICTION"
57,"FICTION NOVEL ROMANCE-NOVEL"
58,"SCIENCE-FICTION SPECULATIVE-FICTION"
59,"CHILDREN'S-LITERATURE"
60,""
61,"CHILDREN'S-LITERATURE FANTASY FICTION HORROR SPECULATIVE-FICTION"
62,"FICTION NOVEL"
63,"HISTORICAL-FICTION HISTORICAL-NOVEL NOVEL"
64,"FANTASY SPECULATIVE-FICTION"
65,"FICTION HISTORICAL-FICTION HISTORICAL-NOVEL NON-FICTION NOVEL"
66,"CHILDREN'S-LITERATURE CRIME-FICTION DETECTIVE-FICTION MYSTERY YOUNG-ADULT-LITERATURE"
67,""
68,"FICTION NOVEL YOUNG-ADULT-LITERATURE"
69,"FANTASY"
70,"SCIENCE-FICTION SPECULATIVE-FICTION"
71,"CHILDREN'S-LITERATURE YOUNG-ADULT-LITERATURE"
72,"FICTION HISTORICAL-FICTION HISTORICAL-NOVEL NOVEL"
73,"NON-FICTION SPECULATIVE-FICTION"
74,"FICTION NOVEL ROMANCE-NOVEL"
75,"NOVEL"
76,"CHILDREN'S-LITERATURE FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
77,"NOVEL"
78,"FICTION HISTORICAL-FICTION HISTORICAL-NOVEL"
79,"FANTASY"
80,"CHILDREN'S-LITERATURE FANTASY SPECULATIVE-FICTION"
81,"NOVEL"
82,"AUTOBIOGRAPHY FICTION NOVEL"
83,"FICTION THRILLER"
84,"FICTION NOVEL"
85,"FICTION NOVEL"
86,"FICTION NOVEL"
87,"CRIME-FICTION DETECTIVE-FICTION FICTION MYSTERY SUSPENSE THRILLER"
88,"FANTASY SPECULATIVE-FICTION"
89,"MYSTERY ROMANCE-NOVEL SUSPENSE"
90,"SCIENCE-FICTION SPECULATIVE-FICTION"
91,"HISTORICAL-NOVEL"
92,"FANTASY SPECULATIVE-FICTION"
93,"CHILDREN'S-LITERATURE FICTION SPECULATIVE-FICTION"
94,"MYSTERY SPECULATIVE-FICTION"
95,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
96,"CHILDREN'S-LITERATURE FICTION YOUNG-ADULT-LITERATURE"
