id,tags
0,"FICTION"
1,"NOVEL HISTORICAL-FICTION HISTORICAL-NOVEL ROMANCE-NOVEL"
2,"NOVEL FICTION"
3,"HISTORICAL-FICTION FICTION HISTORICAL-NOVEL"
4,"NOVEL FICTION"
5,"NOVEL FICTION ROMANCE-NOVEL"
6,"FANTASY SPECULATIVE-FICTION NOVEL"
7,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
8,"SCIENCE-FICTION SPECULATIVE-FICTION"
9,"NOVEL FICTION SPECULATIVE-FICTION"
10,"SCIENCE-FICTION SPECULATIVE-FICTION"
11,"NOVEL FICTION"
12,"NOVEL FICTION"
13,"SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
14,"NOVEL FICTION ROMANCE-NOVEL"
15,"NOVEL FICTION"
16,"NOVEL FICTION"
17,"SCIENCE-FICTION FICTION SPECULATIVE-FICTION"
18,"SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
19,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
20,"SCIENCE-FICTION CHILDREN'S-LITERATURE SPECULATIVE-FICTION"
21,"SCIENCE-FICTION SPECULATIVE-FICTION"
22,"NOVEL FICTION"
23,"NOVEL FICTION"
24,"NOVEL FICTION HISTORICAL-NOVEL"
25,"FICTION CHILDREN'S-LITERATURE NOVEL"
26,"FICTION HISTORICAL-NOVEL"
27,"NOVEL FICTION"
28,"NOVEL FICTION"
29,""
30,"SCIENCE-FICTION SPECULATIVE-FICTION"
31,"FANTASY CHILDREN'S-LITERATURE SPECULATIVE-FICTION"
32,"CRIME-FICTION MYSTERY THRILLER SUSPENSE FICTION"
33,"FANTASY CHILDREN'S-LITERATURE SPECULATIVE-FICTION"
34,"FICTION THRILLER MYSTERY"
35,"NOVEL"
36,"NOVEL FICTION HISTORICAL-NOVEL"
37,"SCIENCE-FICTION SPECULATIVE-FICTION"
38,"FICTION CHILDREN'S-LITERATURE MYSTERY"
39,"SCIENCE-FICTION SPECULATIVE-FICTION"
40,"NON-FICTION"
41,"FICTION NOVEL"
42,"NOVEL FICTION SPECULATIVE-FICTION"
43,"NOVEL"
44,"MYSTERY FICTION"
45,"NOVEL FICTION"
46,"FICTION CHILDREN'S-LITERATURE"
47,"HISTORICAL-NOVEL"
48,"SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
49,"YOUNG-ADULT-LITERATURE FICTION CHILDREN'S-LITERATURE"
50,"SPECULATIVE-FICTION NOVEL"
51,"THRILLER"
52,"NOVEL FICTION"
53,"FANTASY SPECULATIVE-FICTION"
54,"NOVEL FICTION"
55,"SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
56,"FANTASY"
