id,tags
0,"FICTION"
1,"NOVEL HISTORICAL-FICTION ROMANCE-NOVEL HISTORICAL-NOVEL"
2,"NOVEL FICTION"
3,"HISTORICAL-FICTION FICTION HISTORICAL-NOVEL"
4,"NOVEL FICTION"
5,"NOVEL ROMANCE-NOVEL FICTION"
6,"SPECULATIVE-FICTION FANTASY NOVEL"
7,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
8,"SCIENCE-FICTION SPECULATIVE-FICTION"
9,"SPECULATIVE-FICTION NOVEL FICTION"
10,"SCIENCE-FICTION SPECULATIVE-FICTION"
11,"NOVEL FICTION"
12,"NOVEL FICTION"
13,"SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
14,"NOVEL ROMANCE-NOVEL FICTION"
15,"NOVEL FICTION"
16,"NOVEL FICTION"
17,"SCIENCE-FICTION SPECULATIVE-FICTION FICTION"
18,"SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
19,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
20,"SCIENCE-FICTION SPECULATIVE-FICTION CHILDREN'S-LITERATURE"
21,"SCIENCE-FICTION SPECULATIVE-FICTION"
22,"NOVEL FICTION"
23,"NOVEL FICTION"
24,"NOVEL FICTION HISTORICAL-NOVEL"
25,"CHILDREN'S-LITERATURE FICTION NOVEL"
26,"FICTION HISTORICAL-NOVEL"
27,"NOVEL FICTION"
28,"NOVEL FICTION"
29,""
30,"SCIENCE-FICTION SPECULATIVE-FICTION"
31,"FANTASY SPECULATIVE-FICTION CHILDREN'S-LITERATURE"
32,"MYSTERY CRIME-FICTION THRILLER SUSPENSE FICTION"
33,"SPECULATIVE-FICTION FANTASY CHILDREN'S-LITERATURE"
34,"FICTION THRILLER MYSTERY"
35,"NOVEL"
36,"NOVEL FICTION HISTORICAL-NOVEL"
37,"SCIENCE-FICTION SPECULATIVE-FICTION"
38,"CHILDREN'S-LITERATURE FICTION MYSTERY"
39,"SCIENCE-FICTION SPECULATIVE-FICTION"
40,"NON-FICTION"
41,"FICTION NOVEL"
42,"SPECULATIVE-FICTION NOVEL FICTION"
43,"NOVEL"
44,"MYSTERY FICTION"
45,"NOVEL FICTION"
46,"CHILDREN'S-LITERATURE FICTION"
47,"HISTORICAL-NOVEL"
48,"SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
49,"CHILDREN'S-LITERATURE YOUNG-ADULT-LITERATURE FICTION"
50,"SPECULATIVE-FICTION NOVEL"
51,"THRILLER"
52,"NOVEL FICTION"
53,"SPECULATIVE-FICTION FANTASY"
54,"NOVEL FICTION"
55,"SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
56,"FANTASY"
57,"FANTASY CHILDREN'S-LITERATURE"
58,"NOVEL FICTION"
59,"FANTASY SPECULATIVE-FICTION"
60,"NOVEL HISTORICAL-FICTION HISTORICAL-NOVEL"
61,"DETECTIVE-FICTION MYSTERY CRIME-FICTION NOVEL FICTION SUSPENSE"
62,"FICTION NOVEL"
63,"FICTION FANTASY"
64,"SCIENCE-FICTION FICTION"
65,"SPECULATIVE-FICTION CHILDREN'S-LITERATURE ROMANCE-NOVEL FICTION"
66,"FANTASY SPECULATIVE-FICTION CHILDREN'S-LITERATURE FICTION"
67,"NOVEL FICTION"
68,"SCIENCE-FICTION SPECULATIVE-FICTION"
69,"NOVEL FICTION"
70,"CHILDREN'S-LITERATURE FICTION"
71,"NOVEL"
72,"MYSTERY CHILDREN'S-LITERATURE FICTION"
73,"SPECULATIVE-FICTION"
74,"NOVEL FICTION"
75,"NOVEL FICTION"
76,"SCIENCE-FICTION SPECULATIVE-FICTION NOVEL FICTION"
77,"MYSTERY FICTION HORROR SPECULATIVE-FICTION"
78,"SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
79,"SPECULATIVE-FICTION FICTION"
80,"NOVEL FICTION"
81,"SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
82,"NOVEL"
83,"NOVEL FICTION"
84,"SPECULATIVE-FICTION FANTASY"
85,"FICTION HISTORICAL-NOVEL"
86,"NOVEL FICTION"
87,"NOVEL CHILDREN'S-LITERATURE YOUNG-ADULT-LITERATURE FICTION"
88,"MYSTERY DETECTIVE-FICTION FICTION SUSPENSE"
89,"NOVEL FICTION"
90,"NOVEL FICTION"
91,"SCIENCE-FICTION SPECULATIVE-FICTION"
92,"MYSTERY CRIME-FICTION DETECTIVE-FICTION FICTION SUSPENSE"
93,"FICTION"
94,"FICTION"
95,"NOVEL FICTION"
96,"NOVEL FICTION"
97,"NOVEL YOUNG-ADULT-LITERATURE FICTION"
98,"SCIENCE-FICTION SPECULATIVE-FICTION NOVEL FICTION"
99,"SCIENCE-FICTION SPECULATIVE-FICTION"
100,"THRILLER SUSPENSE FICTION"
101,"SPECULATIVE-FICTION NOVEL FICTION"
102,"HISTORICAL-NOVEL"
103,"CHILDREN'S-LITERATURE"
104,"NOVEL FICTION"
105,"SPECULATIVE-FICTION FICTION THRILLER SCIENCE-FICTION"
106,"SPY-FICTION THRILLER"
107,"SPY-FICTION"
108,"THRILLER"
109,"SCIENCE-FICTION SPECULATIVE-FICTION NOVEL FICTION"
110,"FICTION SPECULATIVE-FICTION"
111,"NOVEL"
112,"NOVEL FICTION"
113,"CHILDREN'S-LITERATURE"
114,"NOVEL FICTION"
115,"SCIENCE-FICTION SPECULATIVE-FICTION"
116,"NOVEL FICTION"
117,"NOVEL"
118,"NOVEL"
119,"SCIENCE-FICTION SPECULATIVE-FICTION"
120,"NOVEL FICTION"
121,"MYSTERY SPECULATIVE-FICTION FICTION"
122,"MYSTERY CRIME-FICTION FICTION THRILLER SUSPENSE"
123,"NON-FICTION"
124,"SCIENCE-FICTION SPECULATIVE-FICTION"
125,"SCIENCE-FICTION SPECULATIVE-FICTION"
126,"SCIENCE-FICTION THRILLER"
127,"NOVEL FICTION"
128,"NOVEL HISTORICAL-NOVEL FICTION"
129,"SPECULATIVE-FICTION NOVEL FICTION"
130,"SCIENCE-FICTION NOVEL FICTION SPECULATIVE-FICTION"
131,"SPY-FICTION THRILLER"
132,"CHILDREN'S-LITERATURE"
133,"MYSTERY FICTION"
134,"NOVEL CHILDREN'S-LITERATURE FICTION"
135,"SPECULATIVE-FICTION"
136,"NOVEL CHILDREN'S-LITERATURE"
137,"CHILDREN'S-LITERATURE"
138,"FICTION"
139,"NOVEL ROMANCE-NOVEL HISTORICAL-NOVEL FICTION"
140,"MYSTERY CRIME-FICTION NOVEL FICTION SUSPENSE"
141,"FICTION THRILLER"
142,"NOVEL FICTION"
143,"FANTASY CHILDREN'S-LITERATURE"
144,"NOVEL ROMANCE-NOVEL FICTION"
145,"NOVEL FICTION"
146,"FICTION"
147,"CHILDREN'S-LITERATURE"
148,"FANTASY SPECULATIVE-FICTION CHILDREN'S-LITERATURE"
149,"SPECULATIVE-FICTION FANTASY CHILDREN'S-LITERATURE"
150,"NOVEL FICTION"
151,"NOVEL"
152,"CHILDREN'S-LITERATURE FICTION FANTASY SPECULATIVE-FICTION"
153,"NOVEL"
154,"FANTASY"
155,"MYSTERY HORROR HUMOUR FICTION SUSPENSE SPECULATIVE-FICTION"
156,"SPECULATIVE-FICTION FANTASY FICTION"
157,"NOVEL HISTORICAL-FICTION FICTION"
158,"NOVEL FICTION"
159,"SCIENCE-FICTION SPECULATIVE-FICTION"
160,"MYSTERY CRIME-FICTION FICTION SUSPENSE"
161,"FICTION THRILLER SPECULATIVE-FICTION"
162,"DETECTIVE-FICTION FICTION HISTORICAL-NOVEL"
163,"DETECTIVE-FICTION MYSTERY"
164,"DETECTIVE-FICTION MYSTERY FICTION"
165,"DETECTIVE-FICTION MYSTERY FICTION"
166,"DETECTIVE-FICTION MYSTERY"
167,"CHILDREN'S-LITERATURE"
168,"NOVEL FICTION"
169,"CRIME-FICTION MYSTERY FICTION SUSPENSE"
170,"HORROR SPECULATIVE-FICTION NOVEL FICTION"
171,"SPECULATIVE-FICTION FICTION"
172,"CRIME-FICTION CHILDREN'S-LITERATURE"
173,"NOVEL HISTORICAL-NOVEL"
174,"FICTION SPECULATIVE-FICTION"
175,"MYSTERY CRIME-FICTION SUSPENSE"
176,"SCIENCE-FICTION SPECULATIVE-FICTION THRILLER"
177,"MYSTERY CRIME-FICTION NOVEL FICTION"
178,"FANTASY SPECULATIVE-FICTION CHILDREN'S-LITERATURE"
179,"MYSTERY CRIME-FICTION NOVEL FICTION SUSPENSE"
180,"FANTASY CHILDREN'S-LITERATURE"
181,"MYSTERY DETECTIVE-FICTION NOVEL FICTION SUSPENSE"
182,"SPECULATIVE-FICTION THRILLER"
183,"SCIENCE-FICTION SPECULATIVE-FICTION"
184,"SPECULATIVE-FICTION FANTASY"
185,"NOVEL"
186,"SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
187,"SCIENCE-FICTION SPECULATIVE-FICTION"
188,"NOVEL HISTORY"
189,"SCIENCE-FICTION SPECULATIVE-FICTION"
190,"SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
191,"CHILDREN'S-LITERATURE YOUNG-ADULT-LITERATURE"
192,"NOVEL"
193,"NOVEL FICTION"
194,"SPECULATIVE-FICTION FANTASY CHILDREN'S-LITERATURE FICTION"
195,"SCIENCE-FICTION SPECULATIVE-FICTION"
196,"NOVEL FICTION"
197,"MYSTERY NOVEL FICTION SUSPENSE"
198,"FANTASY SPECULATIVE-FICTION CHILDREN'S-LITERATURE"
199,"SPECULATIVE-FICTION FANTASY"
200,"SCIENCE-FICTION SPECULATIVE-FICTION"
201,"SCIENCE-FICTION SPECULATIVE-FICTION CHILDREN'S-LITERATURE FICTION"
202,"SCIENCE-FICTION SPECULATIVE-FICTION CHILDREN'S-LITERATURE FICTION"
203,"SCIENCE-FICTION SPECULATIVE-FICTION CHILDREN'S-LITERATURE FICTION"
204,"SCIENCE-FICTION SPECULATIVE-FICTION CHILDREN'S-LITERATURE FICTION"
205,"NOVEL FICTION"
206,"NOVEL FICTION"
207,"HISTORICAL-FICTION ROMANCE-NOVEL FICTION HISTORICAL-NOVEL"
208,"NOVEL ROMANCE-NOVEL FICTION"
209,"SCIENCE-FICTION SPECULATIVE-FICTION"
210,"SPECULATIVE-FICTION FANTASY"
211,"FICTION"
212,"NOVEL ROMANCE-NOVEL FICTION HISTORICAL-NOVEL"
213,"FICTION"
214,"NOVEL ROMANCE-NOVEL FICTION HISTORICAL-NOVEL"
215,"NOVEL FICTION"
216,"ROMANCE-NOVEL HISTORICAL-NOVEL"
217,"SCIENCE-FICTION SPECULATIVE-FICTION"
218,"MYSTERY CRIME-FICTION THRILLER SUSPENSE"
219,"CHILDREN'S-LITERATURE FICTION HISTORICAL-NOVEL"
220,"NOVEL FICTION"
221,"MYSTERY SUSPENSE"
222,""
223,"SPECULATIVE-FICTION NOVEL HISTORICAL-NOVEL"
224,"NOVEL"
225,"HISTORICAL-NOVEL FICTION"
226,"SCIENCE-FICTION SPECULATIVE-FICTION"
227,"SCIENCE-FICTION SPECULATIVE-FICTION"
228,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
229,"SCIENCE-FICTION SPECULATIVE-FICTION FICTION"
230,"NOVEL FICTION THRILLER"
