id,tags
0,"FICTION"
1,"NOVEL HISTORICAL-NOVEL HISTORICAL-FICTION ROMANCE-NOVEL"
2,"NOVEL FICTION"
3,"HISTORICAL-NOVEL FICTION HISTORICAL-FICTION"
4,"NOVEL FICTION"
5,"NOVEL FICTION ROMANCE-NOVEL"
6,"SPECULATIVE-FICTION FANTASY NOVEL"
7,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
8,"SCIENCE-FICTION SPECULATIVE-FICTION"
9,"NOVEL SPECULATIVE-FICTION FICTION"
10,"SCIENCE-FICTION SPECULATIVE-FICTION"
11,"NOVEL FICTION"
12,"NOVEL FICTION"
13,"SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
14,"NOVEL FICTION ROMANCE-NOVEL"
15,"NOVEL FICTION"
16,"NOVEL FICTION"
17,"SCIENCE-FICTION SPECULATIVE-FICTION FICTION"
18,"SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
19,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
20,"SCIENCE-FICTION SPECULATIVE-FICTION CHILDREN'S-LITERATURE"
21,"SCIENCE-FICTION SPECULATIVE-FICTION"
22,"NOVEL FICTION"
23,"NOVEL FICTION"
24,"NOVEL HISTORICAL-NOVEL FICTION"
25,"FICTION CHILDREN'S-LITERATURE NOVEL"
26,"HISTORICAL-NOVEL FICTION"
27,"NOVEL FICTION"
28,"NOVEL FICTION"
29,""
30,"SCIENCE-FICTION SPECULATIVE-FICTION"
31,"FANTASY SPECULATIVE-FICTION CHILDREN'S-LITERATURE"
32,"SUSPENSE THRILLER MYSTERY CRIME-FICTION FICTION"
33,"SPECULATIVE-FICTION FANTASY CHILDREN'S-LITERATURE"
34,"FICTION THRILLER MYSTERY"
35,"NOVEL"
36,"NOVEL HISTORICAL-NOVEL FICTION"
37,"SCIENCE-FICTION SPECULATIVE-FICTION"
38,"FICTION CHILDREN'S-LITERATURE MYSTERY"
39,"SCIENCE-FICTION SPECULATIVE-FICTION"
40,"NON-FICTION"
41,"FICTION NOVEL"
42,"NOVEL SPECULATIVE-FICTION FICTION"
43,"NOVEL"
44,"FICTION MYSTERY"
45,"NOVEL FICTION"
46,"FICTION CHILDREN'S-LITERATURE"
47,"HISTORICAL-NOVEL"
48,"SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
49,"FICTION CHILDREN'S-LITERATURE YOUNG-ADULT-LITERATURE"
50,"SPECULATIVE-FICTION NOVEL"
51,"THRILLER"
52,"NOVEL FICTION"
53,"SPECULATIVE-FICTION FANTASY"
54,"NOVEL FICTION"
55,"SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
56,"FANTASY"
57,"FANTASY CHILDREN'S-LITERATURE"
58,"NOVEL FICTION"
