id,tags
0,"FICTION"
1,"NOVEL"
2,"FICTION"
3,"FICTION HISTORICAL-NOVEL"
4,"FICTION NOVEL"
5,"NOVEL"
6,"NOVEL"
7,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
8,"SCIENCE-FICTION SPECULATIVE-FICTION"
9,"SPECULATIVE-FICTION"
10,"SCIENCE-FICTION"
11,"FICTION"
12,""
13,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
14,"FICTION NOVEL ROMANCE-NOVEL"
15,"FICTION NOVEL"
16,"FICTION"
17,"FICTION SCIENCE-FICTION SPECULATIVE-FICTION"
18,"SPECULATIVE-FICTION"
19,"FANTASY SPECULATIVE-FICTION"
20,"CHILDREN'S-LITERATURE SPECULATIVE-FICTION"
21,"FICTION SCIENCE-FICTION SPECULATIVE-FICTION"
22,"FICTION NOVEL"
23,""
24,"FICTION"
25,"CHILDREN'S-LITERATURE FICTION NOVEL"
26,"FICTION HISTORICAL-NOVEL"
27,"FICTION NOVEL"
28,""
29,""
30,"SCIENCE-FICTION"
31,"CHILDREN'S-LITERATURE FANTASY FICTION SPECULATIVE-FICTION"
32,"CRIME-FICTION FICTION"
33,"CHILDREN'S-LITERATURE"
34,"FICTION THRILLER"
35,"NOVEL"
36,"FANTASY"
37,"SCIENCE-FICTION"
38,"MYSTERY"
39,"SCIENCE-FICTION SPECULATIVE-FICTION"
40,"FICTION"
41,"FICTION"
42,"NOVEL"
43,""
44,"FICTION"
45,"FICTION MYSTERY"
46,"CHILDREN'S-LITERATURE FICTION"
47,"HISTORICAL-NOVEL"
48,"SCIENCE-FICTION SPECULATIVE-FICTION"
49,"CHILDREN'S-LITERATURE FICTION"
50,"NOVEL SPECULATIVE-FICTION"
51,"THRILLER"
52,"NOVEL"
53,"FANTASY SPECULATIVE-FICTION"
54,"FICTION MYSTERY"
55,"SCIENCE-FICTION SPECULATIVE-FICTION"
56,"CHILDREN'S-LITERATURE FANTASY FICTION"
