id,tags
0,"FICTION NOVEL WAR-NOVEL"
1,"DETECTIVE-FICTION HISTORICAL-FICTION HISTORICAL-NOVEL MYSTERY NOVEL SUSPENSE"
2,"FICTION NOVEL"
3,"HISTORICAL-NOVEL"
4,"FICTION HISTORICAL-FICTION NOVEL"
5,"FICTION NOVEL"
6,"FICTION NOVEL"
7,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
8,"FICTION NOVEL SCIENCE-FICTION SPECULATIVE-FICTION"
9,"FANTASY FICTION NON-FICTION SCIENCE-FICTION SPECULATIVE-FICTION"
10,"ALTERNATE-HISTORY HISTORICAL-NOVEL SCIENCE-FICTION THRILLER WAR-NOVEL"
11,"AUTOBIOGRAPHICAL-NOVEL FICTION HISTORICAL-FICTION HISTORICAL-NOVEL NOVEL"
12,"ADVENTURE-NOVEL FICTION HISTORICAL-FICTION NOVEL ROMANCE-NOVEL YOUNG-ADULT-LITERATURE"
13,"ALTERNATE-HISTORY FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
14,"FICTION NOVEL ROMANCE-NOVEL SUSPENSE YOUNG-ADULT-LITERATURE"
15,"FICTION NOVEL SATIRE"
16,"CHILDREN'S-LITERATURE FICTION HISTORICAL-FICTION NOVEL ROMANCE-NOVEL"
17,"FICTION SCIENCE-FICTION SPECULATIVE-FICTION"
18,"COMIC-NOVEL FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
19,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
20,"CHILDREN'S-LITERATURE SCIENCE-FICTION SPECULATIVE-FICTION"
21,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
22,"AUTOBIOGRAPHICAL-NOVEL FICTION HISTORICAL-FICTION NOVEL ROMANCE-NOVEL"
23,"AUTOBIOGRAPHY COMEDY FICTION NON-FICTION NOVEL"
24,"FICTION HISTORICAL-FICTION HISTORICAL-NOVEL NOVEL"
25,"CHILDREN'S-LITERATURE FICTION NOVEL"
26,"COMIC-NOVEL FICTION HISTORICAL-NOVEL NOVEL"
27,"FICTION NOVEL ROMANCE-NOVEL"
28,"FICTION NON-FICTION SCIENCE-FICTION"
29,"FICTION THRILLER"
30,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
31,"ADVENTURE-NOVEL CHILDREN'S-LITERATURE FANTASY SCIENCE-FICTION SPECULATIVE-FICTION WAR-NOVEL"
32,"CRIME-FICTION FICTION HISTORICAL-NOVEL MYSTERY SPY-FICTION SUSPENSE THRILLER"
33,"CHILDREN'S-LITERATURE FANTASY SPECULATIVE-FICTION"
34,"FICTION MYSTERY SUSPENSE THRILLER"
35,"FICTION NOVEL ROMANCE-NOVEL"
36,"FANTASY FICTION HISTORICAL-NOVEL NOVEL"
37,"SCIENCE-FICTION SPECULATIVE-FICTION"
38,"CHILDREN'S-LITERATURE CRIME-FICTION FICTION MYSTERY SUSPENSE YOUNG-ADULT-LITERATURE"
39,"SCIENCE-FICTION SPECULATIVE-FICTION"
40,"AUTOBIOGRAPHY FICTION NON-FICTION NOVEL"
41,"FICTION NOVEL ROMANCE-NOVEL"
42,"AUTOBIOGRAPHICAL-NOVEL DYSTOPIA FICTION NOVEL"
43,"FICTION HISTORICAL-FICTION HISTORICAL-NOVEL NOVEL"
44,"CRIME-FICTION FICTION MYSTERY NOVEL SUSPENSE"
45,"CHILDREN'S-LITERATURE FICTION NOVEL"
46,"CHILDREN'S-LITERATURE FICTION NON-FICTION NOVEL"
47,"HISTORICAL-NOVEL"
48,"ALTERNATE-HISTORY FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
49,"CHILDREN'S-LITERATURE FICTION NOVEL ROMANCE-NOVEL YOUNG-ADULT-LITERATURE"
50,"AUTOBIOGRAPHY FICTION MEMOIR NON-FICTION NOVEL SPECULATIVE-FICTION"
51,"CRIME-FICTION FICTION MYSTERY SUSPENSE THRILLER"
52,"FICTION NOVEL"
53,"FANTASY NON-FICTION SPECULATIVE-FICTION"
54,"CRIME-FICTION FICTION MYSTERY SUSPENSE THRILLER"
55,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
56,"CHILDREN'S-LITERATURE FANTASY HIGH-FANTASY ROMANCE-NOVEL SPECULATIVE-FICTION THRILLER YOUNG-ADULT-LITERATURE"
57,"CHILDREN'S-LITERATURE FICTION YOUNG-ADULT-LITERATURE"
58,"CHILDREN'S-LITERATURE FICTION NOVEL YOUNG-ADULT-LITERATURE"
59,"ALTERNATE-HISTORY FANTASY NOVEL SCIENCE-FICTION SPECULATIVE-FICTION"
60,"AUTOBIOGRAPHY BIOGRAPHY DETECTIVE-FICTION FICTION HISTORICAL-FICTION HISTORICAL-NOVEL MYSTERY NOVEL ROMANCE-NOVEL"
61,"CRIME-FICTION DETECTIVE-FICTION FICTION MYSTERY NOVEL SUSPENSE THRILLER"
62,"CHILDREN'S-LITERATURE FICTION MYSTERY NOVEL NOVELLA ROMANCE-NOVEL SUSPENSE"
63,"CHILDREN'S-LITERATURE FANTASY SPECULATIVE-FICTION"
64,"ALTERNATE-HISTORY FICTION NOVEL"
65,"CHILDREN'S-LITERATURE FICTION MYSTERY ROMANCE-NOVEL SUSPENSE"
66,"CHILDREN'S-LITERATURE FANTASY FICTION ROMANCE-NOVEL SPECULATIVE-FICTION"
67,"FICTION"
68,"SCIENCE-FICTION SPECULATIVE-FICTION"
69,"AUTOBIOGRAPHY FICTION MEMOIR NON-FICTION NOVEL"
70,"CHILDREN'S-LITERATURE FICTION NOVEL YOUNG-ADULT-LITERATURE"
71,"NOVEL"
72,"CHILDREN'S-LITERATURE FICTION NOVEL THRILLER"
73,"FANTASY FICTION SPECULATIVE-FICTION"
74,"FICTION HISTORICAL-FICTION NOVEL"
75,"AUTOBIOGRAPHY FICTION NON-FICTION NOVEL"
76,"FICTION NOVEL SCIENCE-FICTION SPECULATIVE-FICTION"
77,"CHILDREN'S-LITERATURE FICTION HORROR MYSTERY SUSPENSE THRILLER YOUNG-ADULT-LITERATURE"
78,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
79,"SCIENCE-FICTION SPECULATIVE-FICTION"
80,"COMEDY FICTION HISTORICAL-NOVEL NOVEL ROMANCE-NOVEL"
81,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
82,"ALTERNATE-HISTORY HISTORICAL-FICTION HISTORICAL-NOVEL NOVEL SCIENCE-FICTION SPECULATIVE-FICTION"
83,"FICTION NOVEL ROMANCE-NOVEL"
84,"CHILDREN'S-LITERATURE FANTASY HORROR ROMANCE-NOVEL SPECULATIVE-FICTION"
85,"FICTION"
86,"AUTOBIOGRAPHICAL-NOVEL AUTOBIOGRAPHY COMEDY FICTION NOVEL SATIRE YOUNG-ADULT-LITERATURE"
87,"AUTOBIOGRAPHICAL-NOVEL AUTOBIOGRAPHY CHILDREN'S-LITERATURE FICTION NOVEL YOUNG-ADULT-LITERATURE"
88,"CRIME-FICTION DETECTIVE-FICTION FICTION MYSTERY NOVEL ROMANCE-NOVEL SUSPENSE"
89,"HISTORICAL-FICTION HISTORICAL-NOVEL THRILLER"
90,"AUTOBIOGRAPHICAL-NOVEL CHILDREN'S-LITERATURE FICTION NOVEL ROMANCE-NOVEL YOUNG-ADULT-LITERATURE"
91,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
92,"CRIME-FICTION DETECTIVE-FICTION FICTION MYSTERY NOVEL SUSPENSE THRILLER"
93,"FICTION NOVEL"
94,"CHILDREN'S-LITERATURE FICTION"
95,"FICTION NOVEL ROMANCE-NOVEL"
96,"AUTOBIOGRAPHICAL-NOVEL FICTION NOVEL ROMANCE-NOVEL"
97,"CHILDREN'S-LITERATURE FICTION NOVEL YOUNG-ADULT-LITERATURE"
98,"FICTION NOVEL ROMANCE-NOVEL SCIENCE-FICTION SPECULATIVE-FICTION"
99,"COMIC-NOVEL FICTION NOVEL ROMANCE-NOVEL SCIENCE-FICTION SPECULATIVE-FICTION"
100,"FICTION SPY-FICTION SUSPENSE THRILLER"
101,"FICTION NOVEL"
102,"FICTION NOVEL"
103,"CHILDREN'S-LITERATURE FANTASY YOUNG-ADULT-LITERATURE"
104,"FICTION HISTORICAL-FICTION HISTORICAL-NOVEL NOVEL"
105,"FICTION SCIENCE-FICTION SPECULATIVE-FICTION THRILLER"
106,"ALTERNATE-HISTORY HISTORICAL-NOVEL SPY-FICTION THRILLER"
107,"SPY-FICTION"
108,"CRIME-FICTION FICTION MYSTERY SPY-FICTION SUSPENSE THRILLER"
109,"FICTION NOVEL"
110,"FICTION HORROR HUMOUR NOVEL SPECULATIVE-FICTION"
111,"CHILDREN'S-LITERATURE FICTION NOVEL ROMANCE-NOVEL THRILLER"
112,"FICTION HISTORICAL-FICTION HISTORICAL-NOVEL NOVEL ROMANCE-NOVEL"
113,"CHILDREN'S-LITERATURE FICTION MYSTERY SUSPENSE YOUNG-ADULT-LITERATURE"
114,"AUTOBIOGRAPHICAL-NOVEL AUTOBIOGRAPHY CHILDREN'S-LITERATURE FICTION NOVEL YOUNG-ADULT-LITERATURE"
115,"FICTION SCIENCE-FICTION SPECULATIVE-FICTION THRILLER"
116,"FICTION HISTORICAL-FICTION HISTORICAL-NOVEL NOVEL ROMANCE-NOVEL"
117,"FICTION NOVEL ROMANCE-NOVEL"
118,"NOVEL"
119,"NOVEL SCIENCE-FICTION SPECULATIVE-FICTION"
120,"FICTION NOVEL"
121,"FICTION NOVEL"
122,"CRIME-FICTION FICTION MYSTERY SPY-FICTION SUSPENSE THRILLER"
123,"NON-FICTION NOVEL SCIENCE-FICTION SPECULATIVE-FICTION"
124,"ALTERNATE-HISTORY FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
125,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
126,"FICTION SCIENCE-FICTION SPECULATIVE-FICTION SPY-FICTION THRILLER"
127,"AUTOBIOGRAPHICAL-NOVEL FICTION NOVEL"
128,"COMEDY FICTION HISTORICAL-FICTION HISTORICAL-NOVEL NOVEL ROMANCE-NOVEL"
129,"FICTION HISTORICAL-FICTION NOVEL"
130,"SPECULATIVE-FICTION"
131,"ALTERNATE-HISTORY FICTION HISTORICAL-NOVEL SPY-FICTION THRILLER WAR-NOVEL"
132,"CHILDREN'S-LITERATURE"
133,"CHILDREN'S-LITERATURE FICTION MYSTERY ROMANCE-NOVEL SUSPENSE THRILLER YOUNG-ADULT-LITERATURE"
134,"CHILDREN'S-LITERATURE FICTION NOVEL ROMANCE-NOVEL YOUNG-ADULT-LITERATURE"
135,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION THRILLER"
136,"CHILDREN'S-LITERATURE FICTION NOVEL ROMANCE-NOVEL YOUNG-ADULT-LITERATURE"
137,"CHILDREN'S-LITERATURE FANTASY YOUNG-ADULT-LITERATURE"
138,"CHILDREN'S-LITERATURE FICTION MYSTERY NOVEL ROMANCE-NOVEL"
139,"FICTION HISTORICAL-FICTION HISTORICAL-NOVEL NOVEL ROMANCE-NOVEL SUSPENSE"
140,"CRIME-FICTION DETECTIVE-FICTION FICTION MYSTERY NOVEL SUSPENSE THRILLER"
141,"CRIME-FICTION FICTION MYSTERY SUSPENSE THRILLER"
142,"FICTION NOVEL"
143,"CHILDREN'S-LITERATURE FANTASY"
144,"AUTOBIOGRAPHICAL-NOVEL CHILDREN'S-LITERATURE FICTION NOVEL ROMANCE-NOVEL YOUNG-ADULT-LITERATURE"
145,"FICTION NOVEL YOUNG-ADULT-LITERATURE"
146,"AUTOBIOGRAPHICAL-NOVEL FICTION HISTORICAL-NOVEL MYSTERY NOVEL SUSPENSE THRILLER"
147,"CHILDREN'S-LITERATURE YOUNG-ADULT-LITERATURE"
148,"CHILDREN'S-LITERATURE FANTASY HORROR SPECULATIVE-FICTION"
149,"FANTASY SPECULATIVE-FICTION"
150,"CHILDREN'S-LITERATURE HISTORICAL-FICTION NOVEL"
151,"FICTION HISTORICAL-FICTION HISTORICAL-NOVEL NOVEL"
152,"CHILDREN'S-LITERATURE FANTASY FICTION NOVEL SPECULATIVE-FICTION YOUNG-ADULT-LITERATURE"
153,"AUTOBIOGRAPHY BIOGRAPHY COMEDY HISTORICAL-FICTION HISTORICAL-NOVEL MEMOIR NON-FICTION NOVEL"
154,"CHILDREN'S-LITERATURE FANTASY FICTION HISTORICAL-FICTION HISTORICAL-NOVEL ROMANCE-NOVEL"
155,"CHILDREN'S-LITERATURE CRIME-FICTION FICTION HORROR HUMOUR MYSTERY ROMANCE-NOVEL SPECULATIVE-FICTION SUSPENSE"
156,"CHILDREN'S-LITERATURE FANTASY FICTION SPECULATIVE-FICTION"
157,"AUTOBIOGRAPHICAL-NOVEL AUTOBIOGRAPHY BIOGRAPHY FICTION HISTORICAL-FICTION HISTORICAL-NOVEL NOVEL ROMANCE-NOVEL"
158,"FICTION NOVEL"
159,"SCIENCE-FICTION SPECULATIVE-FICTION"
160,"CRIME-FICTION DETECTIVE-FICTION FICTION MYSTERY NOVEL SHORT-STORY SUSPENSE"
161,"CRIME-FICTION FICTION MYSTERY SPECULATIVE-FICTION SUSPENSE THRILLER"
162,"ALTERNATE-HISTORY DETECTIVE-FICTION FICTION HISTORICAL-NOVEL MYSTERY WAR-NOVEL"
163,"DETECTIVE-FICTION HISTORICAL-NOVEL MYSTERY"
164,"DETECTIVE-FICTION MYSTERY"
165,"CHILDREN'S-LITERATURE DETECTIVE-FICTION MYSTERY YOUNG-ADULT-LITERATURE"
166,"DETECTIVE-FICTION MYSTERY TECHNO-THRILLER"
167,"CHILDREN'S-LITERATURE HISTORICAL-FICTION NOVEL ROMANCE-NOVEL YOUNG-ADULT-LITERATURE"
168,"FICTION NOVEL"
169,"CRIME-FICTION DETECTIVE-FICTION FICTION MYSTERY SUSPENSE THRILLER"
170,"CHILDREN'S-LITERATURE FICTION NOVEL ROMANCE-NOVEL YOUNG-ADULT-LITERATURE"
171,"FANTASY FICTION NOVEL ROMANCE-NOVEL SPECULATIVE-FICTION"
172,"CHILDREN'S-LITERATURE FICTION YOUNG-ADULT-LITERATURE"
173,"HISTORICAL-FICTION NOVEL"
174,"DETECTIVE-FICTION FICTION MYSTERY SPECULATIVE-FICTION THRILLER"
175,"CRIME-FICTION DETECTIVE-FICTION FICTION MYSTERY NOVEL SUSPENSE THRILLER"
176,"CRIME-FICTION FICTION MYSTERY SUSPENSE THRILLER"
177,"FICTION HISTORICAL-FICTION NOVEL"
178,"CHILDREN'S-LITERATURE FANTASY SPECULATIVE-FICTION"
179,"NOVEL THRILLER"
180,"CHILDREN'S-LITERATURE FANTASY SPECULATIVE-FICTION YOUNG-ADULT-LITERATURE"
181,"CRIME-FICTION DETECTIVE-FICTION FICTION HISTORICAL-FICTION HISTORICAL-NOVEL MYSTERY NOVEL SHORT-STORY SUSPENSE"
182,"SCIENCE-FICTION SPECULATIVE-FICTION"
183,"CHILDREN'S-LITERATURE SCIENCE-FICTION SPECULATIVE-FICTION"
184,"FANTASY HISTORICAL-NOVEL SCIENCE-FICTION SPECULATIVE-FICTION"
185,"FICTION NOVEL"
186,"ALTERNATE-HISTORY FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
187,"SCIENCE-FICTION SPECULATIVE-FICTION"
188,"ALTERNATE-HISTORY FICTION HISTORICAL-FICTION HISTORICAL-NOVEL HISTORY NOVEL WAR-NOVEL"
189,"SCIENCE-FICTION SPECULATIVE-FICTION"
190,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
191,"CHILDREN'S-LITERATURE YOUNG-ADULT-LITERATURE"
192,"NOVEL"
193,"FICTION NOVEL ROMANCE-NOVEL"
194,"CHILDREN'S-LITERATURE FANTASY FICTION SPECULATIVE-FICTION"
195,"ALTERNATE-HISTORY NON-FICTION SCIENCE-FICTION SPECULATIVE-FICTION"
196,"FICTION NON-FICTION NOVEL"
197,"CRIME-FICTION FICTION HISTORICAL-FICTION MYSTERY NOVEL SUSPENSE"
