id,tags
0,"FICTION"
1,"HISTORICAL-NOVEL HISTORICAL-FICTION ROMANCE-NOVEL NOVEL"
2,"FICTION NOVEL"
3,"FICTION HISTORICAL-NOVEL HISTORICAL-FICTION"
4,"FICTION NOVEL"
5,"FICTION ROMANCE-NOVEL NOVEL"
6,"FANTASY SPECULATIVE-FICTION NOVEL"
7,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
8,"SCIENCE-FICTION SPECULATIVE-FICTION"
9,"FICTION NOVEL SPECULATIVE-FICTION"
10,"SCIENCE-FICTION SPECULATIVE-FICTION"
11,"FICTION NOVEL"
12,"NOVEL FICTION"
13,"SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
14,"NOVEL FICTION ROMANCE-NOVEL"
15,"NOVEL FICTION"
16,"FICTION NOVEL"
17,"FICTION SCIENCE-FICTION SPECULATIVE-FICTION"
18,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
19,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
20,"CHILDREN'S-LITERATURE SCIENCE-FICTION SPECULATIVE-FICTION"
21,"SCIENCE-FICTION SPECULATIVE-FICTION"
22,"FICTION NOVEL"
23,"NOVEL FICTION"
24,"FICTION HISTORICAL-NOVEL NOVEL"
25,"FICTION CHILDREN'S-LITERATURE NOVEL"
26,"FICTION HISTORICAL-NOVEL"
27,"FICTION NOVEL"
28,"FICTION NOVEL"
29,""
30,"SCIENCE-FICTION SPECULATIVE-FICTION"
31,"FANTASY CHILDREN'S-LITERATURE SPECULATIVE-FICTION"
32,"CRIME-FICTION THRILLER MYSTERY SUSPENSE FICTION"
33,"CHILDREN'S-LITERATURE FANTASY SPECULATIVE-FICTION"
34,"FICTION THRILLER MYSTERY"
35,"NOVEL"
36,"FICTION HISTORICAL-NOVEL NOVEL"
37,"SCIENCE-FICTION SPECULATIVE-FICTION"
38,"FICTION CHILDREN'S-LITERATURE MYSTERY"
39,"SCIENCE-FICTION SPECULATIVE-FICTION"
40,"NON-FICTION"
41,"FICTION NOVEL"
42,"FICTION NOVEL SPECULATIVE-FICTION"
43,"NOVEL"
44,"FICTION MYSTERY"
45,"FICTION NOVEL"
46,"FICTION CHILDREN'S-LITERATURE"
47,"HISTORICAL-NOVEL"
48,"SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
49,"YOUNG-ADULT-LITERATURE FICTION CHILDREN'S-LITERATURE"
50,"SPECULATIVE-FICTION NOVEL"
51,"THRILLER"
52,"FICTION NOVEL"
53,"FANTASY SPECULATIVE-FICTION"
54,"FICTION NOVEL"
55,"SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
56,"FANTASY"
57,"FANTASY CHILDREN'S-LITERATURE"
58,"FICTION NOVEL"
59,"FANTASY SPECULATIVE-FICTION"
60,"HISTORICAL-NOVEL HISTORICAL-FICTION NOVEL"
61,"DETECTIVE-FICTION MYSTERY FICTION CRIME-FICTION SUSPENSE NOVEL"
62,"FICTION NOVEL"
63,"FICTION FANTASY"
64,"FICTION SCIENCE-FICTION"
65,"FICTION CHILDREN'S-LITERATURE ROMANCE-NOVEL SPECULATIVE-FICTION"
66,"FANTASY FICTION CHILDREN'S-LITERATURE SPECULATIVE-FICTION"
67,"FICTION NOVEL"
68,"SCIENCE-FICTION SPECULATIVE-FICTION"
69,"FICTION NOVEL"
70,"FICTION CHILDREN'S-LITERATURE"
71,"NOVEL"
72,"FICTION CHILDREN'S-LITERATURE MYSTERY"
73,"SPECULATIVE-FICTION"
74,"FICTION NOVEL"
75,"FICTION NOVEL"
