id,tags
0,"FICTION"
1,"HISTORICAL-FICTION ROMANCE-NOVEL HISTORICAL-NOVEL NOVEL"
2,"FICTION NOVEL"
3,"FICTION HISTORICAL-FICTION HISTORICAL-NOVEL"
4,"FICTION NOVEL"
5,"FICTION ROMANCE-NOVEL NOVEL"
6,"FANTASY SPECULATIVE-FICTION NOVEL"
7,"FANTASY SCIENCE-FICTION SPECULATIVE-FICTION"
8,"SCIENCE-FICTION SPECULATIVE-FICTION"
9,"FICTION SPECULATIVE-FICTION NOVEL"
10,"SPECULATIVE-FICTION SCIENCE-FICTION"
11,"FICTION NOVEL"
12,"NOVEL FICTION"
13,"SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
14,"NOVEL FICTION ROMANCE-NOVEL"
15,"NOVEL FICTION"
16,"FICTION NOVEL"
17,"FICTION SPECULATIVE-FICTION SCIENCE-FICTION"
18,"FANTASY SPECULATIVE-FICTION SCIENCE-FICTION"
19,"FANTASY SPECULATIVE-FICTION SCIENCE-FICTION"
20,"SPECULATIVE-FICTION SCIENCE-FICTION CHILDREN'S-LITERATURE"
21,"SCIENCE-FICTION SPECULATIVE-FICTION"
22,"FICTION NOVEL"
23,"NOVEL FICTION"
24,"FICTION HISTORICAL-NOVEL NOVEL"
25,"FICTION CHILDREN'S-LITERATURE NOVEL"
26,"FICTION HISTORICAL-NOVEL"
27,"FICTION NOVEL"
28,"FICTION NOVEL"
29,""
30,"SCIENCE-FICTION SPECULATIVE-FICTION"
31,"FANTASY SPECULATIVE-FICTION CHILDREN'S-LITERATURE"
32,"SUSPENSE THRILLER MYSTERY CRIME-FICTION FICTION"
33,"FANTASY SPECULATIVE-FICTION CHILDREN'S-LITERATURE"
34,"FICTION THRILLER MYSTERY"
35,"NOVEL"
36,"FICTION HISTORICAL-NOVEL NOVEL"
37,"SCIENCE-FICTION SPECULATIVE-FICTION"
38,"FICTION CHILDREN'S-LITERATURE MYSTERY"
39,"SPECULATIVE-FICTION SCIENCE-FICTION"
40,"NON-FICTION"
41,"FICTION NOVEL"
42,"FICTION SPECULATIVE-FICTION NOVEL"
43,"NOVEL"
44,"FICTION MYSTERY"
45,"FICTION NOVEL"
46,"FICTION CHILDREN'S-LITERATURE"
47,"HISTORICAL-NOVEL"
48,"SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
49,"FICTION YOUNG-ADULT-LITERATURE CHILDREN'S-LITERATURE"
50,"SPECULATIVE-FICTION NOVEL"
51,"THRILLER"
52,"FICTION NOVEL"
53,"FANTASY SPECULATIVE-FICTION"
54,"FICTION NOVEL"
55,"SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
56,"FANTASY"
57,"FANTASY CHILDREN'S-LITERATURE"
58,"FICTION NOVEL"
59,"FANTASY SPECULATIVE-FICTION"
60,"HISTORICAL-FICTION HISTORICAL-NOVEL NOVEL"
61,"DETECTIVE-FICTION MYSTERY FICTION SUSPENSE NOVEL CRIME-FICTION"
62,"FICTION NOVEL"
63,"FICTION FANTASY"
64,"FICTION SCIENCE-FICTION"
65,"FICTION SPECULATIVE-FICTION ROMANCE-NOVEL CHILDREN'S-LITERATURE"
66,"FANTASY FICTION SPECULATIVE-FICTION CHILDREN'S-LITERATURE"
67,"FICTION NOVEL"
68,"SPECULATIVE-FICTION SCIENCE-FICTION"
69,"FICTION NOVEL"
70,"FICTION CHILDREN'S-LITERATURE"
71,"NOVEL"
72,"FICTION MYSTERY CHILDREN'S-LITERATURE"
73,"SPECULATIVE-FICTION"
74,"FICTION NOVEL"
75,"FICTION NOVEL"
76,"FICTION SPECULATIVE-FICTION SCIENCE-FICTION NOVEL"
77,"FICTION MYSTERY HORROR SPECULATIVE-FICTION"
78,"FANTASY SPECULATIVE-FICTION SCIENCE-FICTION"
79,"SPECULATIVE-FICTION FICTION"
80,"FICTION NOVEL"
81,"SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
82,"NOVEL"
83,"FICTION NOVEL"
84,"FANTASY SPECULATIVE-FICTION"
85,"FICTION HISTORICAL-NOVEL"
86,"FICTION NOVEL"
87,"FICTION YOUNG-ADULT-LITERATURE NOVEL CHILDREN'S-LITERATURE"
88,"FICTION SUSPENSE DETECTIVE-FICTION MYSTERY"
89,"FICTION NOVEL"
90,"FICTION NOVEL"
91,"SPECULATIVE-FICTION SCIENCE-FICTION"
92,"FICTION SUSPENSE DETECTIVE-FICTION MYSTERY CRIME-FICTION"
93,"FICTION"
94,"FICTION"
95,"NOVEL FICTION"
96,"FICTION NOVEL"
97,"FICTION YOUNG-ADULT-LITERATURE NOVEL"
98,"FICTION SPECULATIVE-FICTION SCIENCE-FICTION NOVEL"
99,"SCIENCE-FICTION SPECULATIVE-FICTION"
100,"SUSPENSE THRILLER FICTION"
101,"FICTION SPECULATIVE-FICTION NOVEL"
102,"HISTORICAL-NOVEL"
103,"CHILDREN'S-LITERATURE"
104,"FICTION NOVEL"
105,"FICTION SPECULATIVE-FICTION THRILLER SCIENCE-FICTION"
106,"SPY-FICTION THRILLER"
107,"SPY-FICTION"
108,"THRILLER"
109,"FICTION SPECULATIVE-FICTION SCIENCE-FICTION NOVEL"
110,"FICTION SPECULATIVE-FICTION"
111,"NOVEL"
112,"FICTION NOVEL"
113,"CHILDREN'S-LITERATURE"
114,"FICTION NOVEL"
115,"SCIENCE-FICTION SPECULATIVE-FICTION"
116,"FICTION NOVEL"
117,"NOVEL"
118,"NOVEL"
119,"SPECULATIVE-FICTION SCIENCE-FICTION"
120,"FICTION NOVEL"
121,"FICTION SPECULATIVE-FICTION MYSTERY"
122,"FICTION SUSPENSE THRILLER MYSTERY CRIME-FICTION"
123,"NON-FICTION"
124,"SPECULATIVE-FICTION SCIENCE-FICTION"
125,"SCIENCE-FICTION SPECULATIVE-FICTION"
126,"THRILLER SCIENCE-FICTION"
